,day_of_week,hour_of_day,normalized_energy,average_energy,t_3,t_2,t_1,true_value,ARX_predict_value
80,3.0,11.0,0.03030303,0.0920234729861202,0.03030303,0.03030303,0.03030303,-0.0617204429861202,0.02167823669445964
81,3.0,12.0,0.023569024,0.09522737894304,0.023569024,0.023569024,0.023569024,-0.07165835494304,0.016860851239278708
82,3.0,13.0,0.077441077,0.0905864974621762,0.077441077,0.077441077,0.077441077,-0.0131454204621762,0.05539993845763523
83,3.0,14.0,0.067340067,0.0826275153814404,0.067340067,0.067340067,0.067340067,-0.0152874483814404,0.04817385955948202
84,3.0,15.0,0.053872054,0.0877415743229678,0.053872054,0.053872054,0.053872054,-0.0338695203229678,0.03853908793373834
85,3.0,16.0,0.047138047,0.1009865157949099,0.047138047,0.047138047,0.047138047,-0.0538484687949099,0.0337217017631756
86,3.0,17.0,0.393939394,0.1093403136109556,0.393939394,0.393939394,0.393939394,0.2845990803890443,0.28181707988950255
87,3.0,18.0,0.326599327,0.1347149526123887,0.326599327,0.326599327,0.326599327,0.1918843743876112,0.23364322033002052
88,3.0,19.0,0.195286195,0.1390294984536374,0.195286195,0.195286195,0.195286195,0.0562566965463625,0.13970419322326513
89,3.0,20.0,0.232323232,0.1545388864220813,0.232323232,0.232323232,0.232323232,0.0777843455779186,0.1661998160882875
90,3.0,21.0,0.178451178,0.1712807342733764,0.178451178,0.178451178,0.178451178,0.0071704437266235,0.12766072815454915
91,3.0,22.0,0.265993266,0.1562499941958626,0.265993266,0.265993266,0.265993266,0.1097432718041373,0.19028674622571945
92,3.0,23.0,0.185185185,0.1380776025659581,0.185185185,0.185185185,0.185185185,0.0471075824340418,0.13247811432511192
93,4.0,0.0,0.060606061,0.1118541844877225,0.060606061,0.060606061,0.060606061,-0.0512481234877225,0.043356474104301095
94,4.0,1.0,0.04040404,0.0948318317233666,0.04040404,0.04040404,0.04040404,-0.0544277917233666,0.028904315592612848
95,4.0,2.0,0.04040404,0.0815477692141471,0.04040404,0.04040404,0.04040404,-0.0411437292141471,0.028904315592612848
96,4.0,3.0,0.037037037,0.0745432369763041,0.037037037,0.037037037,0.037037037,-0.0375061999763041,0.026495622865022384
97,4.0,4.0,0.04040404,0.0745392769752291,0.04040404,0.04040404,0.04040404,-0.0341352369752291,0.028904315592612848
98,4.0,5.0,0.057239057,0.0751001425007762,0.057239057,0.057239057,0.057239057,-0.0178610855007762,0.04094778066132881
99,4.0,6.0,0.390572391,0.1046759867170561,0.390572391,0.390572391,0.390572391,0.2858964042829439,0.2794083871619121
100,4.0,7.0,0.101010101,0.1090124790593705,0.101010101,0.101010101,0.101010101,-0.0080023780593705,0.07226078969691395
101,4.0,8.0,0.080808081,0.1109392301248046,0.080808081,0.080808081,0.080808081,-0.0301311491248046,0.05780863190060752
102,4.0,9.0,0.074074074,0.092415906294076,0.074074074,0.074074074,0.074074074,-0.018341832294076,0.05299124573004477
103,4.0,10.0,0.026936027,0.1030171211873654,0.026936027,0.026936027,0.026936027,-0.0760810941873654,0.01926954396686917
104,4.0,11.0,0.023569024,0.0968248663785372,0.023569024,0.023569024,0.023569024,-0.0732558423785371,0.016860851239278708
105,4.0,12.0,0.077441077,0.0948792780215065,0.077441077,0.077441077,0.077441077,-0.0174382010215065,0.05539993845763523
106,4.0,13.0,0.023569024,0.0984941766693924,0.023569024,0.023569024,0.023569024,-0.0749251526693924,0.016860851239278708
107,4.0,14.0,0.067340067,0.0909676796271911,0.067340067,0.067340067,0.067340067,-0.0236276126271911,0.04817385955948202
108,4.0,15.0,0.050505051,0.0921551351818603,0.050505051,0.050505051,0.050505051,-0.0416500841818603,0.03613039520614788
109,4.0,16.0,0.265993266,0.1047811851807781,0.265993266,0.265993266,0.265993266,0.1612120808192218,0.19028674622571945
110,4.0,17.0,0.235690236,0.1173519626649782,0.235690236,0.235690236,0.235690236,0.1183382733350217,0.16860850953125978
111,4.0,18.0,0.252525253,0.1275044447819786,0.252525253,0.252525253,0.252525253,0.1250208082180214,0.18065197459997576
112,4.0,19.0,0.138047138,0.1328491588175223,0.138047138,0.138047138,0.138047138,0.0051979791824777,0.09875641256193632
113,4.0,20.0,0.205387205,0.1367064373697395,0.205387205,0.205387205,0.205387205,0.0686807676302604,0.14693027212141832
114,4.0,21.0,0.175084175,0.1483582722031792,0.175084175,0.175084175,0.175084175,0.0267259027968207,0.1252520354269587
115,4.0,22.0,0.178451178,0.1454768086732617,0.178451178,0.178451178,0.178451178,0.0329743693267382,0.12766072815454915
116,4.0,23.0,0.181818182,0.1313575586340062,0.181818182,0.181818182,0.181818182,0.0504606233659937,0.13006942159752144
117,5.0,0.0,0.117845118,0.1061935967640246,0.117845118,0.117845118,0.117845118,0.0116515212359753,0.08430425476562989
118,5.0,1.0,0.067340067,0.0928507462017889,0.067340067,0.067340067,0.067340067,-0.0255106792017889,0.04817385955948202
119,5.0,2.0,0.067340067,0.0827093491939168,0.067340067,0.067340067,0.067340067,-0.0153692821939167,0.04817385955948202
120,5.0,3.0,0.067340067,0.0766262377120425,0.067340067,0.067340067,0.067340067,-0.0092861707120425,0.04817385955948202
121,5.0,4.0,0.067340067,0.074766981655703,0.067340067,0.067340067,0.067340067,-0.007426914655703,0.04817385955948202
122,5.0,5.0,0.057239057,0.0738085193829551,0.057239057,0.057239057,0.057239057,-0.0165694623829551,0.04094778066132881
123,5.0,6.0,0.178451178,0.0859631513819797,0.178451178,0.178451178,0.178451178,0.0924880266180202,0.12766072815454915
124,5.0,7.0,0.377104377,0.0929755253407703,0.377104377,0.377104377,0.377104377,0.2841288516592296,0.26977361482078654
125,5.0,8.0,0.363636364,0.0994728667389059,0.363636364,0.363636364,0.363636364,0.264163497261094,0.2601388431950429
126,5.0,9.0,0.037037037,0.1065495739205653,0.037037037,0.037037037,0.037037037,-0.0695125369205653,0.026495622865022384
127,5.0,10.0,0.03030303,0.1226978447898232,0.03030303,0.03030303,0.03030303,-0.0923948147898232,0.02167823669445964
128,5.0,11.0,0.026936027,0.1187240686258824,0.026936027,0.026936027,0.026936027,-0.0917880416258824,0.01926954396686917
129,5.0,12.0,0.03030303,0.1154523737373481,0.03030303,0.03030303,0.03030303,-0.0851493437373481,0.02167823669445964
130,5.0,13.0,0.03030303,0.1170049658120022,0.03030303,0.03030303,0.03030303,-0.0867019358120022,0.02167823669445964
131,5.0,14.0,0.080808081,0.1079485858483572,0.080808081,0.080808081,0.080808081,-0.0271405048483572,0.05780863190060752
132,5.0,15.0,0.03030303,0.1072343379616541,0.03030303,0.03030303,0.03030303,-0.0769313079616541,0.02167823669445964
133,5.0,16.0,0.31986532,0.1225845821917426,0.31986532,0.31986532,0.31986532,0.1972807378082574,0.22882583415945779
134,5.0,17.0,0.245791246,0.1412080467585631,0.245791246,0.245791246,0.245791246,0.1045831992414368,0.17583458842941302
135,5.0,18.0,0.336700337,0.1388297440744489,0.336700337,0.336700337,0.336700337,0.197870592925551,0.24086929922817374
136,5.0,19.0,0.164983165,0.1428625314278814,0.164983165,0.164983165,0.164983165,0.0221206335721185,0.11802595652880549
137,5.0,20.0,0.235690236,0.1493066666219178,0.235690236,0.235690236,0.235690236,0.0863835693780821,0.16860850953125978
138,5.0,21.0,0.185185185,0.1607485133421454,0.185185185,0.185185185,0.185185185,0.0244366716578545,0.13247811432511192
139,5.0,22.0,0.168350168,0.1474016377698571,0.168350168,0.168350168,0.168350168,0.0209485302301428,0.12043464925639596
140,5.0,23.0,0.121212121,0.1357631731659306,0.121212121,0.121212121,0.121212121,-0.0145510521659306,0.08671294749322037
141,6.0,0.0,0.094276094,0.1203556019563484,0.094276094,0.094276094,0.094276094,-0.0260795079563484,0.0674434035263512
142,6.0,1.0,0.037037037,0.1017696455284769,0.037037037,0.037037037,0.037037037,-0.0647326085284769,0.026495622865022384
143,6.0,2.0,0.04040404,0.0863850065373474,0.04040404,0.04040404,0.04040404,-0.0459809665373474,0.028904315592612848
144,6.0,3.0,0.037037037,0.0764542369640115,0.037037037,0.037037037,0.037037037,-0.0394171999640115,0.026495622865022384
145,6.0,4.0,0.037037037,0.072332807866728,0.037037037,0.037037037,0.037037037,-0.035295770866728,0.026495622865022384
146,6.0,5.0,0.043771044,0.0718238044584494,0.043771044,0.043771044,0.043771044,-0.0280527604584494,0.031313009035585135
147,6.0,6.0,0.033670034,0.0770410417308561,0.033670034,0.033670034,0.033670034,-0.0433710077308561,0.02408693013743192
148,6.0,7.0,0.033670034,0.0929367515416533,0.033670034,0.033670034,0.033670034,-0.0592667175416533,0.02408693013743192
149,6.0,8.0,0.127946128,0.1013799159281137,0.127946128,0.127946128,0.127946128,0.0265662120718862,0.0915303336637831
150,6.0,9.0,0.124579125,0.100254000888138,0.124579125,0.124579125,0.124579125,0.0243251241118619,0.08912164093619264
151,6.0,10.0,0.178451178,0.1256562573600128,0.178451178,0.178451178,0.178451178,0.0527949206399871,0.12766072815454915
152,6.0,11.0,0.03030303,0.1178950366974697,0.03030303,0.03030303,0.03030303,-0.0875920066974697,0.02167823669445964
153,6.0,12.0,0.047138047,0.1223956169070859,0.047138047,0.047138047,0.047138047,-0.0752575699070859,0.0337217017631756
154,6.0,13.0,0.04040404,0.121287130543074,0.04040404,0.04040404,0.04040404,-0.080883090543074,0.028904315592612848
155,6.0,14.0,0.04040404,0.1136453610118488,0.04040404,0.04040404,0.04040404,-0.0732413210118488,0.028904315592612848
156,6.0,15.0,0.090909091,0.1145802222128478,0.090909091,0.090909091,0.090909091,-0.0236711312128478,0.06503471079876072
157,6.0,16.0,0.067340067,0.1246904166834487,0.067340067,0.067340067,0.067340067,-0.0573503496834487,0.04817385955948202
158,6.0,17.0,0.144781145,0.1447071736281771,0.144781145,0.144781145,0.144781145,7.397137182288405e-05,0.10357379873249907
159,6.0,18.0,0.535353535,0.1527208882894034,0.535353535,0.535353535,0.535353535,0.3826326467105966,0.3829821851790294
160,6.0,19.0,0.094276094,0.1598039774250363,0.094276094,0.094276094,0.094276094,-0.0655278834250363,0.0674434035263512
161,6.0,20.0,0.151515152,0.1741538135902894,0.151515152,0.151515152,0.151515152,-0.0226386615902894,0.10839118490306181
162,6.0,21.0,0.175084175,0.1812997496993408,0.175084175,0.175084175,0.175084175,-0.0062155746993408,0.1252520354269587
163,6.0,22.0,0.151515152,0.1620565165510432,0.151515152,0.151515152,0.151515152,-0.0105413645510432,0.10839118490306181
164,6.0,23.0,0.387205387,0.1446385724104311,0.387205387,0.387205387,0.387205387,0.2425668145895688,0.2769996937189398
