,day_of_week,hour_of_day,normalized_energy,average_energy,t_3,t_2,t_1,true_value,predict_energy
0,0.0,3.0,0.04040404,0.07187866342905137,0.04040404,0.04040404,0.04040404,-0.03147462342905137,0.028589623499525655
1,0.0,4.0,0.04040404,0.0732868813973033,0.04040404,0.04040404,0.04040404,-0.0328828413973033,0.028589623499525655
2,0.0,5.0,0.067340067,0.07623389844053903,0.067340067,0.067340067,0.067340067,-0.008893831440539027,0.04762630266602763
3,0.0,6.0,0.313131313,0.10924919319043798,0.313131313,0.313131313,0.313131313,0.20388211980956206,0.21807108009086687
4,0.0,7.0,0.158249158,0.10851023386426557,0.158249158,0.158249158,0.158249158,0.04973892413573443,0.11154049687662011
5,0.0,8.0,0.037037037,0.10775159045297644,0.037037037,0.037037037,0.037037037,-0.07071455345297645,0.026208295818458866
6,0.0,9.0,0.707070707,0.10056258827478015,0.707070707,0.707070707,0.707070707,0.6065081187252198,0.46247475662142634
7,0.0,10.0,0.393939394,0.10701220870178677,0.393939394,0.393939394,0.393939394,0.28692718529821326,0.27181707240514114
8,0.0,11.0,0.050505051,0.09534445407327975,0.050505051,0.050505051,0.050505051,-0.04483940307327975,0.03573155327060445
9,0.0,12.0,0.205387205,0.09886264690949018,0.205387205,0.205387205,0.205387205,0.10652455809050981,0.14435477367401459
10,0.0,13.0,0.303030303,0.0956878118113541,0.303030303,0.303030303,0.303030303,0.2073424911886459,0.2112511969571777
11,0.0,14.0,0.043771044,0.08475629878520269,0.043771044,0.043771044,0.043771044,-0.040985254785202686,0.03097062741908357
12,0.0,15.0,0.043771044,0.08754318549396826,0.043771044,0.043771044,0.043771044,-0.04377214149396826,0.03097062741908357
13,0.0,16.0,0.04040404,0.1009505654933597,0.04040404,0.04040404,0.04040404,-0.060546525493359704,0.028589623499525655
14,0.0,17.0,0.303030303,0.1127156252648752,0.303030303,0.303030303,0.303030303,0.19031467773512478,0.2112511969571777
15,0.0,18.0,0.434343434,0.13608001528944288,0.434343434,0.434343434,0.434343434,0.29826341871055706,0.29809019296905703
16,0.0,19.0,0.138047138,0.1469709983164853,0.138047138,0.138047138,0.138047138,-0.008923860316485288,0.09739809107945613
17,0.0,20.0,0.185185185,0.16821429061813853,0.185185185,0.185185185,0.185185185,0.016970894381861473,0.13032602560349588
18,0.0,21.0,0.252525253,0.18580258159115395,0.252525253,0.252525253,0.252525253,0.06672267140884605,0.17685460186481333
19,0.0,22.0,0.097643098,0.16389903052722382,0.097643098,0.097643098,0.097643098,-0.06625593252722382,0.0690006049223759
20,0.0,23.0,0.094276094,0.1450999568455975,0.094276094,0.094276094,0.094276094,-0.050823862845597506,0.06662844703763647
21,1.0,0.0,0.043771044,0.11624896235064432,0.043771044,0.043771044,0.043771044,-0.07247791835064432,0.03097062741908357
